FECHA,ROL,VICTIMA,SEXO,EDAD_VICTIMA
2017-02-18,CONDUCTOR,MOTO,MASCULINO,43
2017-02-23,PEATON,PEATON,MASCULINO,39
2017-02-24,CONDUCTOR,MOTO,MASCULINO,23
2017-02-26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23
2017-02-26,CONDUCTOR,AUTO,MASCULINO,19
2017-02-26,PEATON,PEATON,MASCULINO,SD
2017-02-28,PEATON,PEATON,MASCULINO,87
2017-03-07,SD,SD,MASCULINO,34
2017-03-07,CONDUCTOR,AUTO,FEMENINO,27
2017-03-11,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70
2017-03-12,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40
2017-03-12,CONDUCTOR,AUTO,MASCULINO,28
2017-03-13,PEATON,PEATON,MASCULINO,43
2017-03-23,CONDUCTOR,AUTO,MASCULINO,28
2017-03-23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32
2017-03-23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
2017-03-29,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,SD
2017-03-29,CONDUCTOR,MOTO,MASCULINO,20
2017-03-31,CONDUCTOR,MOTO,MASCULINO,41
2017-04-01,CONDUCTOR,MOTO,FEMENINO,40
2017-04-03,CONDUCTOR,AUTO,MASCULINO,43
2017-04-03,CONDUCTOR,MOTO,MASCULINO,17
2017-04-10,CONDUCTOR,MOTO,MASCULINO,SD
2017-04-14,CONDUCTOR,MOTO,MASCULINO,21
2017-04-23,CONDUCTOR,MOTO,MASCULINO,37
2017-04-27,PEATON,PEATON,MASCULINO,22
2017-04-28,CONDUCTOR,MOTO,MASCULINO,46
2017-04-28,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16
2017-05-01,CONDUCTOR,AUTO,MASCULINO,33
2017-05-05,PEATON,PEATON,FEMENINO,47
2017-05-05,CONDUCTOR,MOTO,MASCULINO,28
2017-05-07,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20
2017-05-09,CONDUCTOR,AUTO,MASCULINO,32
2017-05-09,PEATON,PEATON,MASCULINO,80
2017-05-11,PEATON,PEATON,FEMENINO,39
2017-05-13,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
2017-05-15,PEATON,PEATON,MASCULINO,47
2017-05-15,CONDUCTOR,MOTO,MASCULINO,35
2017-05-17,PEATON,PEATON,FEMENINO,79
2017-05-20,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61
2017-05-22,CICLISTA,BICICLETA,MASCULINO,21
2017-05-22,PEATON,PEATON,MASCULINO,10
2017-05-23,CONDUCTOR,MOTO,MASCULINO,21
2017-05-27,CONDUCTOR,MOTO,MASCULINO,32
2017-05-29,CONDUCTOR,MOTO,MASCULINO,39
2017-05-30,PEATON,PEATON,MASCULINO,80
2017-06-03,CONDUCTOR,AUTO,MASCULINO,25
2017-06-04,CONDUCTOR,MOTO,MASCULINO,19
2017-06-04,SD,SD,MASCULINO,70
2017-06-12,PEATON,PEATON,MASCULINO,55
2017-06-13,PEATON,PEATON,FEMENINO,30
2017-06-17,CONDUCTOR,MOTO,FEMENINO,60
2017-06-19,CONDUCTOR,MOTO,MASCULINO,33
2017-06-22,PEATON,PEATON,FEMENINO,95
2017-06-25,PEATON,PEATON,MASCULINO,36
2017-07-04,CONDUCTOR,MOTO,MASCULINO,37
2017-07-05,PEATON,PEATON,FEMENINO,73
2017-07-07,PEATON,PEATON,MASCULINO,84
2017-07-09,PEATON,PEATON,FEMENINO,30
2017-07-10,PEATON,PEATON,FEMENINO,73
2017-07-10,PEATON,PEATON,MASCULINO,43
2017-07-13,SD,SD,MASCULINO,23
2017-07-15,PEATON,PEATON,MASCULINO,22
2017-07-15,CONDUCTOR,MOTO,MASCULINO,58
2017-07-24,PEATON,PEATON,MASCULINO,66
2017-07-25,PEATON,PEATON,MASCULINO,SD
2017-07-27,CICLISTA,BICICLETA,FEMENINO,56
2017-08-06,CONDUCTOR,MOTO,MASCULINO,36
2017-08-07,PEATON,PEATON,MASCULINO,87
2017-08-08,PEATON,PEATON,FEMENINO,61
2017-08-17,CICLISTA,BICICLETA,MASCULINO,28
2017-08-21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16
2017-08-23,PEATON,PEATON,FEMENINO,61
2017-08-24,PEATON,PEATON,MASCULINO,46
2017-08-25,PEATON,PEATON,FEMENINO,18
2017-08-31,PEATON,PEATON,FEMENINO,85
2017-09-01,CONDUCTOR,MOTO,MASCULINO,41
2017-09-02,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17
2017-09-02,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10
2017-09-04,CONDUCTOR,MOTO,MASCULINO,21
2017-09-06,PEATON,PEATON,MASCULINO,56
2017-09-07,PEATON,PEATON,FEMENINO,79
2017-09-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1
2017-09-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,SD
2017-09-11,PEATON,PEATON,FEMENINO,76
2017-09-15,CONDUCTOR,AUTO,MASCULINO,26
2017-09-19,CONDUCTOR,MOTO,MASCULINO,34
2017-09-20,CONDUCTOR,MOTO,MASCULINO,22
2017-09-22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26
2017-10-02,CONDUCTOR,MOTO,MASCULINO,20
2017-10-10,PEATON,PEATON,FEMENINO,36
2017-10-12,CONDUCTOR,MOTO,MASCULINO,51
2017-10-13,CONDUCTOR,MOTO,MASCULINO,29
2017-10-14,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39
2017-10-14,CONDUCTOR,AUTO,MASCULINO,36
2017-10-16,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24
2017-10-17,PEATON,PEATON,FEMENINO,60
2017-10-26,CONDUCTOR,MOTO,MASCULINO,57
2017-10-27,CONDUCTOR,AUTO,MASCULINO,23
2017-10-30,CONDUCTOR,MOTO,MASCULINO,23
2017-11-06,PEATON,PEATON,FEMENINO,47
2017-11-07,CONDUCTOR,MOTO,MASCULINO,24
2017-11-16,PEATON,PEATON,MASCULINO,55
2017-11-17,PEATON,PEATON,FEMENINO,60
2017-11-19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25
2017-11-19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,15
2017-11-19,CONDUCTOR,MOTO,MASCULINO,24
2017-11-23,PEATON,PEATON,FEMENINO,22
2017-11-25,CONDUCTOR,AUTO,MASCULINO,50
2017-11-26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,50
2017-11-26,CONDUCTOR,MOTO,MASCULINO,58
2017-11-28,CONDUCTOR,MOTO,MASCULINO,49
2017-11-29,PEATON,PEATON,FEMENINO,82
2017-11-30,PEATON,PEATON,MASCULINO,13
2017-12-04,PEATON,PEATON,MASCULINO,56
2017-12-04,PEATON,PEATON,MASCULINO,SD
2017-12-06,CICLISTA,BICICLETA,MASCULINO,19
2017-12-11,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD
2017-12-11,CONDUCTOR,MOTO,MASCULINO,30
2017-12-11,PEATON,PEATON,MASCULINO,76
2017-12-12,SD,SD,MASCULINO,77
2017-12-17,CONDUCTOR,AUTO,MASCULINO,53
2017-12-18,CONDUCTOR,MOTO,MASCULINO,32
2017-12-20,CONDUCTOR,MOTO,MASCULINO,27
2017-12-22,PEATON,PEATON,FEMENINO,30
2017-12-26,PEATON,PEATON,FEMENINO,30
2018-01-01,PEATON,PEATON,MASCULINO,83
2018-01-03,CICLISTA,BICICLETA,FEMENINO,26
2018-01-05,PEATON,PEATON,FEMENINO,58
2018-01-09,CONDUCTOR,MOTO,MASCULINO,39
2018-01-09,PEATON,PEATON,MASCULINO,54
2018-01-10,CICLISTA,BICICLETA,FEMENINO,45
2018-01-11,CONDUCTOR,AUTO,MASCULINO,46
2018-01-12,CONDUCTOR,MOTO,FEMENINO,32
2018-01-14,CONDUCTOR,MOTO,MASCULINO,19
2018-01-18,CONDUCTOR,MOTO,MASCULINO,40
2018-01-19,PEATON,PEATON,MASCULINO,84
2018-01-26,CONDUCTOR,MOTO,MASCULINO,20
2018-01-28,CONDUCTOR,MOTO,MASCULINO,44
2018-01-31,PEATON,PEATON,MASCULINO,SD
2018-02-06,CONDUCTOR,MOTO,MASCULINO,28
2018-02-06,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,19
2018-02-15,CONDUCTOR,MOTO,MASCULINO,31
2018-02-17,PEATON,PEATON,MASCULINO,35
2018-02-17,CONDUCTOR,MOTO,MASCULINO,26
2018-02-17,PEATON,PEATON,FEMENINO,80
2018-02-19,CONDUCTOR,MOTO,MASCULINO,26
2018-02-22,PEATON,PEATON,FEMENINO,62
2018-02-24,CONDUCTOR,MOTO,MASCULINO,28
2018-02-24,CONDUCTOR,MOTO,MASCULINO,28
2018-02-28,PEATON,PEATON,MASCULINO,70
2018-03-04,PEATON,PEATON,MASCULINO,70
2018-03-09,CONDUCTOR,MOVIL,MASCULINO,24
2018-03-09,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,30
2018-03-11,PEATON,PEATON,FEMENINO,74
2018-03-13,PEATON,PEATON,MASCULINO,71
2018-03-15,CONDUCTOR,MOTO,MASCULINO,26
2018-03-20,CONDUCTOR,MOTO,MASCULINO,24
2018-03-28,CONDUCTOR,MOTO,MASCULINO,31
2018-04-02,PEATON,PEATON,MASCULINO,70
2018-04-07,CONDUCTOR,MOTO,FEMENINO,42
2018-04-11,PEATON,PEATON,MASCULINO,24
2018-04-12,PEATON,PEATON,FEMENINO,39
2018-04-13,CONDUCTOR,MOTO,MASCULINO,37
2018-04-18,PEATON,PEATON,MASCULINO,84
2018-04-20,PEATON,PEATON,FEMENINO,59
2018-04-20,PEATON,PEATON,MASCULINO,61
2018-04-21,PEATON,PEATON,MASCULINO,37
2018-04-27,PEATON,PEATON,FEMENINO,SD
2018-04-27,PEATON,PEATON,FEMENINO,78
2018-04-27,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,23
2018-04-28,CONDUCTOR,MOTO,MASCULINO,25
2018-04-28,PEATON,PEATON,FEMENINO,50
2018-04-30,CONDUCTOR,AUTO,MASCULINO,60
2018-05-02,PEATON,PEATON,MASCULINO,11
2018-05-08,PEATON,PEATON,MASCULINO,82
2018-05-09,PEATON,PEATON,MASCULINO,57
2018-05-11,PEATON,PEATON,FEMENINO,40
2018-05-14,PEATON,PEATON,FEMENINO,47
2018-05-15,PEATON,PEATON,FEMENINO,57
2018-05-18,PEATON,PEATON,MASCULINO,78
2018-05-20,CONDUCTOR,MOTO,MASCULINO,43
2018-05-22,PEATON,PEATON,FEMENINO,86
2018-05-29,CONDUCTOR,MOTO,MASCULINO,21
2018-06-02,PEATON,PEATON,FEMENINO,69
2018-06-03,CONDUCTOR,MOTO,MASCULINO,33
2018-06-03,CONDUCTOR,MOTO,MASCULINO,26
2018-06-08,CONDUCTOR,MOTO,MASCULINO,54
2018-06-08,PEATON,PEATON,MASCULINO,51
2018-06-10,CONDUCTOR,MOTO,MASCULINO,51
2018-06-14,PEATON,PEATON,MASCULINO,32
2018-06-16,PEATON,PEATON,FEMENINO,28
2018-06-25,CONDUCTOR,AUTO,MASCULINO,30
2018-06-26,CONDUCTOR,MOTO,MASCULINO,35
2018-06-28,PEATON,PEATON,MASCULINO,73
2018-06-29,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,81
2018-07-01,CONDUCTOR,MOTO,MASCULINO,21
2018-07-04,CICLISTA,BICICLETA,MASCULINO,20
2018-07-07,CONDUCTOR,MOTO,MASCULINO,33
2018-07-10,CONDUCTOR,MOTO,MASCULINO,SD
2018-07-11,CONDUCTOR,MOTO,MASCULINO,27
2018-07-11,PEATON,PEATON,FEMENINO,67
2018-07-14,CONDUCTOR,AUTO,MASCULINO,25
2018-07-15,PEATON,PEATON,MASCULINO,23
2018-07-16,CONDUCTOR,AUTO,MASCULINO,73
2018-07-16,CONDUCTOR,AUTO,MASCULINO,58
2018-07-21,PEATON,PEATON,MASCULINO,27
2018-07-23,PEATON,PEATON,MASCULINO,SD
2018-07-25,PEATON,PEATON,MASCULINO,26
2018-07-29,PEATON,PEATON,MASCULINO,35
2018-08-01,CONDUCTOR,MOTO,FEMENINO,17
2018-08-02,CONDUCTOR,MOTO,MASCULINO,SD
2018-08-03,PEATON,PEATON,MASCULINO,45
2018-08-03,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22
2018-08-03,CONDUCTOR,MOTO,MASCULINO,30
2018-08-10,PEATON,PEATON,MASCULINO,40
2018-08-15,PEATON,PEATON,MASCULINO,75
2018-08-17,CONDUCTOR,MOTO,MASCULINO,SD
2018-08-17,PEATON,PEATON,MASCULINO,80
2018-08-18,CONDUCTOR,MOTO,MASCULINO,27
2018-08-19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23
2018-08-20,CONDUCTOR,MOTO,MASCULINO,23
2018-08-20,PEATON,PEATON,MASCULINO,24
2018-08-23,CONDUCTOR,MOTO,MASCULINO,32
2018-08-26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,49
2018-08-31,PEATON,PEATON,MASCULINO,39
2018-09-02,CONDUCTOR,AUTO,FEMENINO,35
2018-09-09,CONDUCTOR,AUTO,MASCULINO,55
2018-09-09,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,54
2018-09-12,PEATON,PEATON,MASCULINO,18
2018-09-20,SD,MOTO,FEMENINO,33
2018-09-21,CONDUCTOR,AUTO,MASCULINO,SD
2018-09-21,CONDUCTOR,MOTO,MASCULINO,20
2018-09-27,PEATON,PEATON,MASCULINO,1
