FECHA,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD,DIA_SEMANA
2019-01-19,SD,MASCULINO,SD,SD,5
2019-01-15,SD,FEMENINO,,SD,1
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-20,SD,FEMENINO,,SD,6
2019-01-20,SD,FEMENINO,,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,MASCULINO,SD,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,MASCULINO,SD,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,FEMENINO,SD,SD,6
2019-01-20,SD,MASCULINO,SD,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,FEMENINO,,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,SD,SD,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,FEMENINO,,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,FEMENINO,,SD,6
2019-01-20,SD,SD,SD,SD,6
2019-01-20,SD,MASCULINO,,SD,6
2019-01-20,SD,SD,SD,SD,6
2019-01-21,SD,FEMENINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,FEMENINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,FEMENINO,,SD,0
2019-01-21,SD,MASCULINO,,SD,0
2019-02-10,SD,MASCULINO,,SD,6
2019-01-21,SD,MASCULINO,,SD,0
2019-01-21,SD,FEMENINO,,SD,0
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,SD,SD,1
2019-01-22,SD,FEMENINO,,SD,1
2019-01-22,SD,SD,SD,SD,1
2019-01-22,SD,FEMENINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-04-21,SD,FEMENINO,,SD,6
2019-01-22,SD,MASCULINO,SD,SD,1
2019-01-22,SD,MASCULINO,SD,SD,1
2019-01-22,SD,FEMENINO,,SD,1
2019-01-22,SD,FEMENINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,SD,SD,1
2019-01-22,SD,FEMENINO,,SD,1
2019-01-22,SD,FEMENINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,FEMENINO,SD,SD,1
2019-01-22,SD,MASCULINO,SD,SD,1
2019-01-22,SD,MASCULINO,SD,SD,1
2019-01-22,SD,MASCULINO,,SD,1
2019-01-22,SD,MASCULINO,,SD,1
