n_victimas,fecha,hora,comuna,tipo_calle,longitud,latutid,victima,acusado,gravedad
1,2019-01-10,,9,SD,-58.473861,-34.653491,SD,SD,SD
1,2019-01-10,,3,SD,-58.400427,-34.623561,SD,SD,SD
1,2019-01-10,,2,SD,-58.391945,-34.596423,SD,SD,SD
1,2019-01-10,,13,SD,-58.446208,-34.562943,SD,SD,SD
1,2019-01-10,,1,SD,-58.38198,-34.595402,AUTO,SD,SD
1,2019-01-10,,4,SD,-58.392246,-34.651352,AUTO,SD,SD
1,2019-01-10,,15,SD,-58.500707,-34.595503,SD,SD,SD
1,2019-01-10,,2,SD,-58.394403,-34.599673,SD,SD,SD
1,2019-01-10,,2,SD,-58.410235,-34.596947,SD,SD,SD
1,2019-01-10,,11,SD,-58.509727,-34.607279,SD,SD,SD
1,2019-01-10,,9,SD,-58.515191,-34.663764,MOTO,SD,SD
1,2019-01-10,,2,SD,-58.391962,-34.595838,SD,SD,SD
1,2019-01-10,,1,SD,-58.382844,-34.592833,PEATON,SD,SD
1,2019-01-10,,10,SD,-58.508054,-34.622709,SD,SD,SD
1,2019-01-11,,7,SD,-58.459544,-34.63189,CICLISTA,SD,SD
1,2019-01-11,,1,SD,-58.362549,-34.624288,CICLISTA,SD,SD
1,2019-01-11,,13,SD,-58.465848,-34.539578,CICLISTA,SD,SD
1,2019-01-11,,15,SD,-58.446667,-34.60107,CICLISTA,SD,SD
3,2019-01-11,,2,SD,-58.395531,-34.587417,SD,SD,SD
1,2019-01-11,,10,SD,-58.524295,-34.634469,SD,SD,SD
1,2019-01-11,,15,SD,-58.496893,-34.596645,MOTO,SD,SD
2,2019-01-11,,10,SD,-58.472416,-34.636985,MOTO,SD,SD
1,2019-01-11,,10,SD,-58.487251,-34.625617,SD,SD,SD
1,2019-01-11,,9,SD,-58.528858,-34.650136,SD,SD,SD
1,2019-01-11,,2,SD,-58.394403,-34.599673,AUTO,SD,SD
1,2019-01-11,,15,SD,-58.452017,-34.606166,SD,SD,SD
1,2019-01-11,,No Especificada,SD,SD,SD,SD,SD,SD
1,2019-01-11,,5,SD,-58.422407,-34.612074,MOTO,SD,SD
1,2019-01-11,,14,SD,-58.411737,-34.580471,SD,SD,SD
1,2019-01-11,,3,SD,-58.393205,-34.618232,PEATON,SD,SD
1,2019-01-11,,9,SD,-58.484193,-34.646736,SD,SD,SD
1,2019-01-11,,15,SD,-58.46846,-34.583143,SD,SD,SD
1,2019-01-11,,8,SD,-58.4761,-34.688255,SD,SD,SD
1,2019-01-11,,11,SD,-58.490577,-34.615881,SD,SD,SD
1,2019-01-11,,4,SD,-58.431108,-34.64219,MOTO,SD,SD
1,2019-01-11,,1,SD,-58.384398,-34.622312,SD,SD,SD
1,2019-01-11,,8,SD,-58.482357,-34.67499,SD,SD,SD
1,2019-01-11,,15,SD,-58.492907,-34.597067,SD,SD,SD
1,2019-01-11,,1,SD,-58.382848,-34.626957,SD,SD,SD
1,2019-01-11,,3,SD,-58.405162,-34.603342,SD,SD,SD
1,2019-01-11,,4,SD,-58.409367,-34.632884,MOTO,SD,SD
1,2019-01-11,,9,SD,-58.499786,-34.658167,SD,SD,SD
1,2019-01-11,,1,SD,-58.385881,-34.617847,SD,SD,SD
1,2019-01-11,,12,SD,-58.476532,-34.569628,SD,SD,SD
1,2019-01-11,,3,SD,-58.392925,-34.613989,SD,SD,SD
1,2019-01-11,,11,SD,-58.483964,-34.604299,SD,SD,SD
1,2019-01-11,,1,SD,-58.385627,-34.57822,MOTO,SD,SD
1,2019-01-11,,15,SD,-58.474619,-34.576637,SD,SD,SD
1,2019-01-11,,1,SD,-58.377009,-34.594681,SD,SD,SD
1,2019-01-11,,,SD,,,SD,SD,SD
1,2019-01-11,,,SD,,,SD,SD,SD
2,2019-01-12,,11,SD,-58.494612,-34.597052,SD,SD,SD
1,2019-01-12,,5,SD,-58.413828,-34.62075,SD,SD,SD
2,2019-01-12,,9,SD,-58.518662,-34.639166,SD,SD,SD
1,2019-01-12,,14,SD,-58.424079,-34.570823,MOTO,SD,SD
5,2019-01-12,,13,SD,-58.459916,-34.558288,SD,SD,SD
1,2019-01-12,,10,SD,-58.523033,-34.63416,AUTO,SD,SD
1,2019-01-12,,7,SD,-58.466709,-34.630079,PEATON,SD,SD
1,2019-01-12,,8,SD,-58.486173,-34.669018,SD,SD,SD
1,2019-01-12,,9,SD,-58.48895,-34.663345,MOTO,SD,SD
1,2019-01-12,,11,SD,-58.510435,-34.611651,SD,SD,SD
1,2019-01-12,,6,SD,-58.442927,-34.62935,SD,SD,SD
1,2019-01-12,,1,SD,-58.383787,-34.624729,SD,SD,SD
1,2019-01-12,,7,SD,-58.451578,-34.630637,SD,SD,SD
1,2019-01-12,,11,SD,-58.460668,-34.614347,SD,SD,SD
1,2019-01-12,,15,SD,-58.466546,-34.599563,SD,SD,SD
