Cantidad_victimas,Fecha,Hora,Tipo_de_calle,Calle,Cruce,Dirección_normalizada,Comuna,Longitud,Latitud,Victima,Acusado
1,2016-05-21,17:00:00,AVENIDA,"DE LA TORRE, LISANDRO",SI,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.6751276,MOTO,PASAJEROS
1,2016-05-22,22:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",SI,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS
1,2016-05-23,03:00:00,AVENIDA,ENTRE RIOS AV.,SI,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO,CARGAS
1,2016-06-11,15:00:00,CALLE,"MAGARI?OS CERVANTES, A.",NO,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO,CARGAS
1,2016-06-12,06:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO
1,2016-06-12,23:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,SI,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO
1,2016-06-13,16:00:00,AVENIDA,SAN MARTIN AV.,SI,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PASAJEROS
1,2016-06-13,21:00:00,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",SI,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.3702777,-34.60536123,PEATON,PASAJEROS
1,2016-06-13,23:00:00,AVENIDA,BELGRANO AV.,SI,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.6146383,MOTO,MOTO
1,2016-06-16,17:00:00,AVENIDA,DEL LIBERTADOR AV.,SI,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,AUTO
1,2016-06-18,06:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,SD
1,2016-06-22,07:00:00,AVENIDA,"LARRALDE, CRISOLOGO AV.",SI,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.4872106,-34.55904606,MOTO,AUTO
1,2016-06-27,18:00:00,AVENIDA,LA PLATA AV.,NO,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON,AUTO
1,2016-06-28,20:00:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON,MOTO
1,2016-06-29,22:00:00,CALLE,"PELLEGRINI, CARLOS",SI,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON,PASAJEROS
1,2016-06-29,22:00:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SI,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.657341,MOTO,OTRO
1,2016-06-30,16:00:00,AVENIDA,OLIVERA AV.,SI,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON,PASAJEROS
1,2016-07-02,00:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO
1,2016-07-11,15:00:00,CALLE,CERETTI,SI,CERETTI y NUÃ‘EZ,12,-58.5015175,-34.56767549,PEATON,AUTO
1,2016-07-14,06:00:00,AUTOPISTA,"LUGONES, LEOPOLDO AV.",SI,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON,AUTO
1,2016-07-14,22:00:00,AVENIDA,"SALGUERO, JERONIMO",SI,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.6111224,PEATON,PASAJEROS
1,2016-07-15,11:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,CARGAS
1,2016-07-17,03:00:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO,AUTO
1,2016-07-23,06:00:00,AVENIDA,MERCEDES,SI,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO,AUTO
1,2016-07-25,07:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,NO,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS
1,2016-07-26,18:00:00,CALLE,SOLIS,SI,SOLIS y MEXICO,1,-58.39038605,-34.6156281,PEATON,AUTO
1,2016-07-27,16:00:00,AVENIDA,SAN JUAN AV.,SI,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,MOTO,CARGAS
1,2016-07-29,16:00:00,GRAL PAZ,MOSCONI GENERAL AV.,SI,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS,CARGAS
1,2016-08-03,23:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO
1,2016-08-07,19:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,SD,SD
1,2016-08-10,23:00:00,AVENIDA,"PERON, EVA AV.",SI,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,MOTO,CARGAS
1,2016-08-14,21:00:00,AVENIDA,ZINNY,SI,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,MOTO,PASAJEROS
1,2016-08-17,00:00:00,AVENIDA,"LACROZE, FEDERICO AV.",SI,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PEATON,PASAJEROS
1,2016-08-19,21:00:00,AVENIDA,"PELLEGRINI, CARLOS",SI,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PEATON,PASAJEROS
1,2016-08-20,08:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO,AUTO
1,2016-08-24,05:00:00,AUTOPISTA,AUTOPISTA PERITO MORENO,SI,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO
1,2016-08-24,20:00:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.6590353,PEATON,SD
1,2016-08-25,09:00:00,AUTOPISTA,LUGONES,SI,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,MOTO,CARGAS
1,2016-08-27,04:00:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,SI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO
1,2016-08-27,16:00:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,PEATON,PASAJEROS
1,2016-08-31,11:00:00,CALLE,"SALGUERO, JERONIMO",NO,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,BICICLETA,CARGAS
1,2016-09-02,11:00:00,CALLE,ARIAS,SI,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,SD,CARGAS
1,2016-09-02,20:00:00,AVENIDA,27 DE FEBRERO AV.,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,AUTO
1,2016-09-03,15:00:00,AVENIDA,DEL LIBERTADOR AV.,SI,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,AUTO,AUTO
1,2016-09-04,03:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO,AUTO
1,2016-09-04,06:00:00,AVENIDA,"LARRALDE, CRISOLOGO AV.",SI,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,SD,SD
1,2016-09-13,07:00:00,AVENIDA,"PERON, EVA AV.",NO,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS
1,2016-09-14,09:00:00,AVENIDA,ASAMBLEA AV.,SI,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.45130953,-34.64053676,MOTO,AUTO
1,2016-09-16,15:00:00,AVENIDA,RIVADAVIA AV.,SI,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-58.46271207,-34.62884871,PEATON,PASAJEROS
1,2016-09-17,12:00:00,AUTOPISTA,AUTOPISTA PERITO MORENO,SI,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-58.49020869,-34.64243791,MOTO,MOTO
2,2016-09-18,22:00:00,CALLE,IRIGOYEN,SI,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO,CARGAS
1,2016-09-24,10:00:00,AVENIDA,"ACOSTA, MARIANO",SI,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-58.44094791,-34.66677111,PEATON,PASAJEROS
1,2016-10-02,11:00:00,AVENIDA,CASTRO,SI,CASTRO y PAVON AV.,5,-58.41914024,-34.6305389,PEATON,PASAJEROS
1,2016-10-04,12:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910942,-34.62764717,MOTO,CARGAS
1,2016-10-09,19:00:00,CALLE,MIRAVE,NO,MIRAVE 3500,4,-58.39871183,-34.64539318,PEATON,AUTO
1,2016-10-10,02:00:00,AVENIDA,SAN JUAN AV.,SI,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,AUTO,PASAJEROS
1,2016-10-14,00:00:00,AVENIDA,LAS HERAS GENERAL AV.,SI,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.5834269,MOTO,AUTO
1,2016-10-23,05:00:00,AVENIDA,PIEDRA BUENA AV.,SI,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO
1,2016-10-24,05:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",SI,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-58.42260225,-34.56403694,PEATON,SD
1,2016-10-25,00:00:00,AVENIDA,SAN MARTIN AV.,SI,SAN MARTIN AV. y LADINES,11,-58.51537091,-34.59035925,MOTO,MOTO
1,2016-10-27,20:00:00,AVENIDA,CABILDO AV.,SI,CABILDO AV. y BLANCO ENCALADA,13,-58.4590967,-34.55922742,BICICLETA,CARGAS
1,2016-10-28,23:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",SI,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-58.42008769,-34.56539579,MOTO,MOTO
1,2016-10-31,02:00:00,AVENIDA,JURAMENTO AV.,SI,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS
1,2016-11-05,23:00:00,AVENIDA,DEL LIBERTADOR AV.,SI,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO,PASAJEROS
1,2016-11-06,04:00:00,AVENIDA,27 DE FEBRERO AV.,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,SD
1,2016-11-07,12:00:00,AVENIDA,"BROWN, ALTE. AV.",NO,"BROWN, ALTE. AV. 984",4,-58.35975012,-34.63343907,PEATON,PASAJEROS
1,2016-11-07,20:00:00,AVENIDA,DEL LIBERTADOR AV.,SI,DEL LIBERTADOR AV. y LA PAMPA,13,-58.44523595,-34.55953855,MOTO,AUTO
1,2016-11-09,20:00:00,AVENIDA,PICHINCHA AV.,SI,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,PEATON,PASAJEROS
1,2016-11-16,21:00:00,AVENIDA,INDEPENDENCIA AV.,SI,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOVIL,PASAJEROS
1,2016-11-16,22:00:00,AVENIDA,GARMENDIA AV.,NO,GARMENDIA AV. 4895,15,-58.46536113,-34.59484504,MOTO,MOTO
1,2016-11-18,18:00:00,AVENIDA,"ALCORTA, AMANCIO AV.",SI,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,CARGAS,CARGAS
1,2016-11-23,21:00:00,AVENIDA,"MORENO, PERITO AV.",SI,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,MOTO,AUTO
1,2016-11-25,15:00:00,AVENIDA,ARAOZ,SI,ARAOZ y CORDOBA AV.,15,-58.4291709,-34.59485488,PEATON,MOTO
1,2016-11-26,14:00:00,GRAL PAZ,"PAZ, GRAL. AV.",NO,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO,MOTO
1,2016-11-26,16:00:00,CALLE,MADERO,NO,MADERO 900,10,-58.52756365,-34.62772274,PEATON,AUTO
1,2016-11-26,19:00:00,AVENIDA,INDEPENDENCIA AV.,SI,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO,PASAJEROS
1,2016-12-03,06:00:00,AVENIDA,"JUSTO, JUAN B. AV.",NO,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO,MOTO
1,2016-12-04,07:00:00,AVENIDA,27 DE FEBRERO AV.,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO,SD
1,2016-12-06,05:00:00,AUTOPISTA,AUTOPISTA PERITO MORENO,NO,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO
1,2016-12-06,07:00:00,AVENIDA,SANTA FE AV.,SI,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON,PASAJEROS
1,2016-12-07,05:00:00,AVENIDA,"LACROZE, FEDERICO AV.",SI,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON,AUTO
1,2016-12-10,07:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO,AUTO
1,2016-12-11,06:00:00,AVENIDA,LA PLATA AV.,SI,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO,AUTO
1,2016-12-12,08:00:00,AVENIDA,"GARCIA, MARTIN AV.",NO,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS
